"id","commision","net_sales"
45341,27.55,94.75
12958,12.95,37
18233,0,13
31742,0,34
14381,23.76,39.6
9279,27.55,94.75
6217,23.76,0
52027,9.1,26
24167,27.55,94.75
19885,27.55,94.75
61994,5,20
35976,0,16
29735,0,80
42658,17.25,69
60638,27.55,94.75
17806,0,94.75
46954,27.55,94.75
51358,17.82,29.7
21920,12.6,36
27267,23.45,67
38527,0,81
6329,0,59
24367,27.55,94.75
40883,6.3,18
1720,0,20
40960,0,29
39596,0,80
62283,0,54
26311,0,22
30854,4.25,17
62805,6.75,27
51781,0,38
50457,0,21
8468,0,48
54880,0,10
12141,0,21
7848,0,47
58622,0,85
1478,0,24
1132,0,26
35227,3.38,13.5
33778,8.63,34.5
55825,0,10
33090,0,89
46922,20.13,80.5
41419,5.25,21
25390,0,13
30937,0,80
40980,0,80
10558,21.35,61
922,12.25,35
60720,27.55,78
42020,10.5,30
38117,18,72
46952,27.55,94.75
49956,0,94.75
60887,11.55,33
60287,27.55,94.75
24847,0,10
49061,0,73
21669,0.22,0.77
4045,6.3,18
15811,0,34
38910,0,34
30183,27.55,59.4
59373,7.38,29.5
32623,5.94,9.9
37108,4.25,17
28549,3.38,13.5
22096,0,17
62475,0,10
55590,27.55,69.3
18559,9.59,38.35
58388,27.55,94.75
38781,7.38,29.5
43763,0,27
3672,0,35
5424,12.95,37
60679,0,94.75
47696,0,10
1223,11.88,19.8
49960,0,32
31524,27.55,94.75
8439,0,55
60201,12.4,31
7032,0,10
55958,17.82,29.7
4420,27.55,94.75
56484,27.55,94.75
54425,0,10
12501,0,20
19735,0,20
48719,0,10
248,10.89,43.55
28829,0,53
6201,14,40
38720,0,18
5549,0,15
39774,0,16
56246,27.55,94.75
31488,6.3,18
31594,0,54
52006,6,15
8600,0,35
58091,0,22
28073,4.25,17
18809,17.82,29.7
55915,5.63,22.5
33288,0,49
19715,0,50
27060,10.64,28
41473,17.82,29.7
22874,6.01,24.05
21133,15.6,39
21388,0,20
17821,0,21
30565,0,93
53966,10.5,30
33412,4.25,17
39603,0,57
29173,0,17
51324,9.1,0
47635,0,23
46941,4.63,18.5
55576,27.55,94.75
9707,27.55,0
17539,9.57,29
52228,0,25
21325,0,12
49840,0,19
32790,0,19
19095,0,10
7484,17.39,69.55
20248,0,15
50149,0,20
47957,6.3,18
30017,27.55,94.75
6272,0,28
13813,0,94.75
58666,0,10
45760,0,29
51353,23.76,39.6
61239,7.38,29.5
32403,4.63,18.5
62081,0,30
53438,0,94.75
39509,27.55,59.4
35088,23.76,39.6
37559,27.55,94.75
1306,0,72
25874,27.55,94.75
48960,10.5,30
2436,0,24
29957,0,20
47573,5,20
57493,14,40
32845,11.75,47
41807,6,0
48172,7.7,22
38499,27.55,94.75
48841,27.55,94.75
37663,0,22
4356,0,26
1037,0.77,2.76
51589,0,20
54686,18.85,29
9359,0,49
50960,27.55,94.75
37847,0,14
18058,0,35
44293,0,32
59208,27.55,69.3
60735,27.55,94.75
41167,0,10
36291,8.38,33.5
3923,27.55,94.75
7629,0,22
60284,23.76,39.6
8930,5.75,23
25425,0,20
30574,0,60
15551,0,40
48566,0,16
17708,0,10
27687,0,66
16647,0,20
52893,0,54
54447,0,24
44757,27.55,94.75
29158,0,10
58960,15,60
46387,0,20
37704,27.55,94.75
32657,0,79
51212,0,30
53045,0,11
4124,0,46
52676,0,20
28595,27.55,94.75
37067,0,21
29828,4.25,17
17359,0,29
17883,0,28
32267,0,0
27939,0,28
55715,15,60
16729,0,12
26103,0,20
22607,12.4,31
26095,0,20
8148,0,94.75
25007,0,36
9548,0,20
2764,0,20
25144,7.64,30.55
34469,0,11
56061,27.55,76.5
56671,5,20
48848,17.82,29.7
54047,0,59
2598,0,37
307,0,30
50124,0,24
37463,5.75,23
12539,0,48
44294,0,55
38944,1.12,3.99
50646,0,38
13572,24.15,69
38311,10.38,41.5
1810,0,38
6068,0,20
15701,0,30
46927,6.75,27
60662,0,20
20506,0,13
20455,0,19
43625,0,80
33758,0,94.75
36348,0,61
38245,1.33,4.76
4952,27.55,79.2
48210,4.8,19.2
15005,0,44
27529,0,10
2737,27.55,94.75
50074,27.55,94.75
22870,4.39,17.55
7997,0,36
33672,0,94.75
1110,0,20
39769,0,55
21754,27.55,79.2
19210,23.76,39.6
9807,0,21
20724,12.54,33
15176,0,46
35926,0,44
55673,12.4,31
37419,0,20
2543,27.55,94.75
24789,0,22
27409,0,10
50990,0,29
439,23.76,39.6
31024,4.5,18
34057,0,28
50019,0,14
57355,27.55,94.75
36960,27.55,69.3
52732,0,10
4763,27.55,94.75
48692,0,20
51668,23.76,39.6
57853,0,31
26395,27.55,94.75
51415,0,71
15745,27.55,94.75
26051,27.55,94.75
13568,10.5,30
49430,5.94,0
33726,0,10
11088,0,29
23824,0,21
46971,27.55,59.4
55336,7.7,22
61867,27.55,94.75
52959,20.38,81.5
55886,12.95,37
18176,0,26
31570,0,20
40034,16.25,25
15300,6.47,25.9
